date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:02	52724/52724	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:02%20GMT	https://www.kaleido.io/blockchain-platform/quorum	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/quorum.html	(from )
16:49:02	85/85	---M-Z	200	added ('OK')	text/plain	date:Thu,%2026%20May%202022%2011:19:03%20GMT	https://www.kaleido.io/robots.txt		(from )
16:49:03	416386/416386	---M-Z	200	added ('OK')	text/css	etag:%22fe444bca72e59097b59df6da1034b02a%22	https://assets-global.website-files.com/5dfc18aeef0cf9644ab5ccca/css/kaleido.211250e64.min.css	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/assets-global.website-files.com/5dfc18aeef0cf9644ab5ccca/css/kaleido.211250e64.min.css	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:04	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:04	17570/17570	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2026%20May%202022%2011:19:05%20GMT	https://use.typekit.net/uax4cwt.js	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/use.typekit.net/uax4cwt.js	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:04	1976/1976	---M--	200	added ('OK')	image/png	etag:%22aa3d09732283e398c139d876edb66ecb%22	https://assets-global.website-files.com/5dfc18aeef0cf9644ab5ccca/623cb78c301ee7ba1f7ea7a9_favicon-32x32.png	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/assets-global.website-files.com/5dfc18aeef0cf9644ab5ccca/623cb78c301ee7ba1f7ea7a9_favicon-32x32.png	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:04	13257/13257	---M--	200	added ('OK')	image/png	etag:%229d10c459a41d96d214c6815124a6b977%22	https://assets-global.website-files.com/5dfc18aeef0cf9644ab5ccca/6255b631d36284ba8781702a_Blue_Avatar_256x256.png	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/assets-global.website-files.com/5dfc18aeef0cf9644ab5ccca/6255b631d36284ba8781702a_Blue_Avatar_256x256.png	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2026%20May%202022%2011:19:05%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.googletagmanager.com/gtm.65445.delayed	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:06	52505/52505	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:06%20GMT	https://www.kaleido.io/blockchain-platform/hyperledger-fabric	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/hyperledger-fabric.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:06	56094/56094	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:06%20GMT	https://www.kaleido.io/blockchain-platform/corda-os	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/corda-os.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:07	56326/56326	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:07%20GMT	https://www.kaleido.io/blockchain-platform/smart-contract-management	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/smart-contract-management.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:07	52115/52115	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:08%20GMT	https://www.kaleido.io/blockchain-platform/block-explorer	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/block-explorer.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:08	50062/50062	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:09%20GMT	https://www.kaleido.io/blockchain-platform/token-explorer	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/token-explorer.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:09	51019/51019	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:09%20GMT	https://www.kaleido.io/blockchain-platform/rest-api-gateway	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/rest-api-gateway.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:10	51143/51143	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:10%20GMT	https://www.kaleido.io/blockchain-platform/amazon-web-services	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/amazon-web-services.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:10	49899/49899	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:11%20GMT	https://www.kaleido.io/blockchain-platform/azure	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/azure.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:11	53685/53685	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:11%20GMT	https://www.kaleido.io/blockchain-platform/privatestack	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/privatestack.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:12	53643/53643	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:12%20GMT	https://www.kaleido.io/blockchain-platform/public-ethereum-tether	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/public-ethereum-tether.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:13	49449/49449	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:13%20GMT	https://www.kaleido.io/blockchain-platform/ether-pool	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/ether-pool.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:14	52768/52768	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:14%20GMT	https://www.kaleido.io/blockchain-platform/chainlink	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/chainlink.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:14	51839/51839	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:15%20GMT	https://www.kaleido.io/blockchain-platform/rotate-signers	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/rotate-signers.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:15	48148/48148	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:15%20GMT	https://www.kaleido.io/blockchain-platform/on-chain-registry	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/on-chain-registry.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:16	50165/50165	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:16%20GMT	https://www.kaleido.io/blockchain-platform/app2app-messaging	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/app2app-messaging.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:17	52442/52442	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:17%20GMT	https://www.kaleido.io/blockchain-platform/blockchain-application-firewall	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/blockchain-application-firewall.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:17	46886/46886	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:18%20GMT	https://www.kaleido.io/blockchain-platform/identity-and-access-management-iam	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/identity-and-access-management-iam.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:19	51559/51559	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:18%20GMT	https://www.kaleido.io/blockchain-platform/document-exchange	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/document-exchange.html	(from https://www.kaleido.io/blockchain-platform/quorum)
16:49:20	51844/51844	---M-Z	200	added ('OK')	text/html	date:Thu,%2026%20May%202022%2011:19:19%20GMT	https://www.kaleido.io/blockchain-platform/ipfs-file-store	C:/My_Web_Sites_HTTrack/Quorum%20porject%20kaledio/www.kaleido.io/blockchain-platform/ipfs-file-store.html	(from https://www.kaleido.io/blockchain-platform/quorum)
